slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
Initial-setup,Managed - FPT Kubernetes Engine,fpt-jenkins-ci/Initial-setup.md,HIGH,369,122,67%,,
attach-a-network-card-to-the-virtual-machine,Cloud Server,cloud-server/attach-a-network-card-to-the-virtual-machine.md,HIGH,479,161,66%,,
tutorials-backup-may-chu-voi-snapshot,Cloud Server,cloud-server/tutorials-backup-may-chu-voi-snapshot.md,HIGH,977,329,66%,,
profile-ssh-key,Cloud Server,cloud-server/profile-ssh-key.md,HIGH,334,114,66%,,
overview-nic,Cloud Server,cloud-server/overview-nic.md,HIGH,257,88,66%,,
tutorials-object,FPT Object Storage,fpt-object-storage/tutorials-object.md,HIGH,969,331,66%,,
quick-starts-khoi-dong-lai-may-ao,Cloud Server,cloud-server/quick-starts-khoi-dong-lai-may-ao.md,HIGH,161,56,65%,,
redirect-http-request-sang-https,Load Balancer,load-balancer/redirect-http-request-sang-https.md,HIGH,169,60,64%,,
deleteschedule-snapshotVM,Cloud Server,cloud-server/deleteschedule-snapshotVM.md,HIGH,84,31,63%,,
edit-instance-group-specific,Cloud Server,cloud-server/edit-instance-group-specific.md,HIGH,112,44,61%,,
thuc-hien-dat-lich-xoa-pvc-snapshot,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-xoa-pvc-snapshot.md,HIGH,341,132,61%,,
cau-hinh-o-dia-cho-may-ao-chay-windows,Cloud Server,cloud-server/cau-hinh-o-dia-cho-may-ao-chay-windows.md,HIGH,387,154,60%,,
tao-target,FPT Cloud VA,fpt-va/tao-target.md,MEDIUM,1201,482,60%,,
quick-starts-tao-mot-may-ao,Cloud Server,cloud-server/quick-starts-tao-mot-may-ao.md,MEDIUM,733,301,59%,,
tutorials-ket-noi-vao-may-ao-linux,Cloud Server,cloud-server/tutorials-ket-noi-vao-may-ao-linux.md,MEDIUM,559,228,59%,,
deleteschedule-snapshotstorage,Cloud Server,cloud-server/deleteschedule-snapshotstorage.md,MEDIUM,79,32,59%,,
workspace-scmasset,FPT AppSec,fpt-appsec/workspace-scmasset.md,MEDIUM,1567,648,59%,,
thuc-hien-dat-lich-snapshot-pvc,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-snapshot-pvc.md,MEDIUM,543,228,58%,,
gpu-specific,Cloud Server,cloud-server/gpu-specific.md,MEDIUM,559,240,57%,,
add-instance-instance-group,Cloud Server,affinity-anti-affinity/add-instance-instance-group.md,MEDIUM,147,66,55%,,
viewschedule-snapshotVM,Cloud Server,cloud-server/viewschedule-snapshotVM.md,MEDIUM,62,28,55%,,
createschedule-snapshotstorage,Cloud Server,cloud-server/createschedule-snapshotstorage.md,MEDIUM,194,88,55%,,
tutorials-thay-doi-thong-tin-cau-hinh-may-chu,Cloud Server,cloud-server/tutorials-thay-doi-thong-tin-cau-hinh-may-chu.md,MEDIUM,329,151,54%,,
