lang,file,line,ref,text
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,30,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-17-10-045e6418.png,![Userguide Checkpoint FPT NGFW 2022 17
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,32,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-18-ef3fe88e.png,![Userguide Checkpoint FPT NGFW 2022 18
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,34,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-19-10-c658f9ed.png,![Userguide Checkpoint FPT NGFW 2022 19
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,36,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-20-10-fd95d46b.png,![Userguide Checkpoint FPT NGFW 2022 20
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,13,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-100-1-bf21de64.png,![Userguide Checkpoint FPT NGFW 2022 100
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,15,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-101-fa63b3ee.png,![Userguide Checkpoint FPT NGFW 2022 101
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,16,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-102-a80b1410.png,![Userguide Checkpoint FPT NGFW 2022 102
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-103-a87a4c8d.png,![Userguide Checkpoint FPT NGFW 2022 103
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,20,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-104-1-62f6e8ec.png,![Userguide Checkpoint FPT NGFW 2022 104
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,22,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-105-090b32cf.png,![Userguide Checkpoint FPT NGFW 2022 105
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,25,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-106-1-50c627a0.png,![Userguide Checkpoint FPT NGFW 2022 106
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,27,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-107-1-e88cf9aa.png,![Userguide Checkpoint FPT NGFW 2022 107
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-81-10-63596ac8.png,![Userguide Checkpoint FPT NGFW 2022 81
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-82-dd7296d1.png,![Userguide Checkpoint FPT NGFW 2022 82
